Gender;Umur;Jurusan/Program Studi;Jam Belajar per Hari;Jam Tidur per Hari;IPK;Jumlah Tugas Besar per Minggu;Frekuensi Olahraga;Pemasukan Keluarga;Status Hubungan;Label
Laki-laki;20;Teknik Informatika;6;8;03.13;1;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;18;Hukum;5;6;0,188194444;1;Jarang;Rendah;Jomblo;Sehat
Perempuan;21;Desain Komunikasi Visual;6;4;0,127777778;1;Kadang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;24;Kedokteran;3;3;02.44;0;Sering;Sedang;Dalam hubungan;Sehat
Laki-laki;18;Hukum;4;4;03.35;5;Sering;Tinggi;Jomblo;Sehat
Perempuan;23;Desain Komunikasi Visual;2;7;03.52;5;Jarang;Tinggi;Dalam hubungan;Sehat
Laki-laki;18;Kedokteran;1;8;02.45;1;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;22;Desain Komunikasi Visual;2;3;02.15;1;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;21;Ekonomi;4;6;0,168055556;0;Sering;Sedang;Jomblo;Sehat
Perempuan;20;Teknik Informatika;1;3;0,190972222;4;Sering;Sedang;Jomblo;Sehat
Perempuan;20;Teknik Informatika;4;8;03.29;3;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;21;Kedokteran;2;6;02.56;2;Kadang;Rendah;Dalam hubungan;Sehat
Laki-laki;22;Desain Komunikasi Visual;3;8;0,19375;5;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;19;Ekonomi;7;6;0,179861111;5;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;18;Sistem Informasi;2;5;03.03;0;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;22;Hukum;2;9;0,170138889;0;Sering;Rendah;Dalam hubungan;Sehat
Perempuan;23;Hukum;2;5;0,16875;2;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;25;Psikologi;5;4;0,185416667;2;Jarang;Tinggi;Jomblo;Sehat
Perempuan;24;Ekonomi;4;4;0,172222222;1;Sering;Rendah;Dalam hubungan;Sehat
Perempuan;21;Desain Komunikasi Visual;4;6;03.29;2;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;25;Psikologi;6;3;03.22;3;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;18;Kedokteran;4;9;0,147916667;3;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;20;Desain Komunikasi Visual;6;7;03.25;5;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;24;Psikologi;5;7;03.59;3;Jarang;Sedang;Jomblo;Sehat
Perempuan;25;Teknik Informatika;3;3;0,190277778;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;19;Hukum;6;3;0,147916667;3;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;25;Desain Komunikasi Visual;2;5;03.15;1;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;23;Psikologi;3;7;0,145138889;5;Sering;Rendah;Jomblo;Sehat
Laki-laki;20;Teknik Informatika;7;6;03.34;0;Kadang;Rendah;Jomblo;Sehat
Laki-laki;21;Ekonomi;5;8;03.26;5;Jarang;Tinggi;Dalam hubungan;Sehat
Laki-laki;18;Psikologi;4;4;02.04;5;Kadang;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;21;Kedokteran;6;8;03.08;5;Sering;Sedang;Jomblo;Sehat
Perempuan;24;Kedokteran;2;5;02.18;2;Sering;Sedang;Jomblo;Sehat
Laki-laki;18;Kedokteran;1;7;02.05;0;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;22;Desain Komunikasi Visual;7;9;03.58;2;Sering;Tinggi;Jomblo;Sehat
Perempuan;19;Hukum;1;3;02.52;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;22;Psikologi;3;9;0,130555556;1;Kadang;Rendah;Jomblo;Sehat
Laki-laki;22;Ekonomi;4;9;02.13;4;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;21;Psikologi;1;7;02.36;4;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;24;Hukum;3;6;03.53;1;Jarang;Tinggi;Dalam hubungan;Sehat
Laki-laki;19;Teknik Informatika;5;5;0,152083333;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;25;Hukum;3;3;0,177777778;2;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;18;Kedokteran;7;8;0,138194444;1;Kadang;Rendah;Dalam hubungan;Sehat
Laki-laki;18;Desain Komunikasi Visual;3;6;02.54;0;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;23;Teknik Informatika;7;8;02.07;2;Kadang;Sedang;Jomblo;Sehat
Laki-laki;20;Desain Komunikasi Visual;3;4;03.43;1;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;23;Kedokteran;2;5;03.11;2;Sering;Rendah;Jomblo;Sehat
Perempuan;25;Sistem Informasi;3;6;0,18125;2;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;23;Hukum;6;6;03.02;3;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;18;Hukum;3;8;0,152083333;4;Kadang;Rendah;Jomblo;Sehat
Laki-laki;21;Ekonomi;2;3;03.57;2;Kadang;Sedang;Jomblo;Sehat
Perempuan;22;Psikologi;2;4;03.09;5;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;24;Teknik Informatika;5;8;0,132638889;2;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;22;Desain Komunikasi Visual;7;6;02.05;5;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;22;Teknik Informatika;4;5;03.23;3;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;19;Ekonomi;1;6;03.00;1;Sering;Tinggi;Jomblo;Sehat
Perempuan;18;Ekonomi;1;7;0,193055556;2;Sering;Rendah;Jomblo;Sehat
Perempuan;25;Desain Komunikasi Visual;3;5;0,147222222;3;Kadang;Sedang;Jomblo;Sehat
Laki-laki;25;Psikologi;5;5;02.15;0;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;24;Desain Komunikasi Visual;3;6;0,190972222;3;Jarang;Tinggi;Jomblo;Sehat
Perempuan;21;Desain Komunikasi Visual;1;3;0,172916667;4;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;19;Kedokteran;7;5;02.36;4;Kadang;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;20;Psikologi;7;7;0,18125;1;Jarang;Tinggi;Jomblo;Sehat
Perempuan;21;Hukum;7;8;0,130555556;5;Kadang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;23;Kedokteran;2;3;0,135416667;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;21;Sistem Informasi;4;3;0,18125;5;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;21;Psikologi;5;3;03.06;5;Sering;Sedang;Jomblo;Sehat
Laki-laki;22;Ekonomi;2;5;02.28;5;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;21;Kedokteran;4;3;0,134722222;5;Sering;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;25;Psikologi;5;6;03.44;4;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;23;Teknik Informatika;5;3;02.35;4;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;23;Desain Komunikasi Visual;1;7;03.18;2;Jarang;Sedang;Jomblo;Sehat
Perempuan;18;Sistem Informasi;2;4;03.39;4;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;21;Hukum;5;7;0,13125;1;Kadang;Rendah;Jomblo;Sehat
